User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Storm Investor,@storminvestor,2018-11-13T08:45:12.000Z,"Storm Investor
@storminvestor
·
Nov 13, 2018Newmont Mining Corp $NEM Short Interest Update  http://thestockobserver.com/?p=1722995 #markets",,,
The Markets Daily,@TheMarketsDaily,2018-11-13T08:44:24.000Z,"The Markets Daily
@TheMarketsDaily
·
Nov 13, 2018Newmont Mining Corp $NEM Short Interest Update http://zpr.io/6i2Ye",,,
Community Financial,@CFinancialNews,2018-11-12T06:37:06.000Z,"Community Financial
@CFinancialNews
·
Nov 12, 2018Newmont Mining Corp $NEM Short Interest Update http://americanbankingnews.com/?p=8578592 #markets",,,
US Banking News,@AmericanBanking,2018-11-12T06:37:05.000Z,"US Banking News
@AmericanBanking
·
Nov 12, 2018Newmont Mining Corp $NEM Short Interest Update http://americanbankingnews.com/?p=8578592 #stocks",,,
WKRB News,@WKRBNews,2018-11-12T06:34:51.000Z,"WKRB News
@WKRBNews
·
Nov 12, 2018Newmont Mining Corp $NEM Short Interest Update http://wkrb13.com/?p=685536 #markets",,,
MidEast Times,@midetimes,2018-11-12T02:50:13.000Z,"MidEast Times
@midetimes
·
Nov 12, 2018Brokerages Anticipate Newmont Mining Corp $NEM to Post $0.28 Earnings Per Share http://dailypolitical.com/?p=2500687 #stocks",,,
Daily Political,@dailypoliticaln,2018-11-12T02:50:10.000Z,"Daily Political
@dailypoliticaln
·
Nov 12, 2018Brokerages Anticipate Newmont Mining Corp $NEM to Post $0.28 Earnings Per Share http://dailypolitical.com/?p=2500687",,,
Ticker Report,@TickerReport,2018-11-12T02:47:03.000Z,"Ticker Report
@TickerReport
·
Nov 12, 2018Brokerages Expect Newmont Mining Corp $NEM Will Announce Earnings of $0.28 Per Share http://tickerreport.com/?p=3931947",,,
Ticker Report,@TickerReport,2018-11-12T02:33:08.000Z,"Ticker Report
@TickerReport
·
Nov 12, 2018Newmont Mining Corp $NEM Expected to Post Quarterly Sales of $1.84 Billion http://tickerreport.com/?p=3931944",,,
MidEast Times,@midetimes,2018-11-12T02:31:36.000Z,"MidEast Times
@midetimes
·
Nov 12, 2018$1.84 Billion in Sales Expected for Newmont Mining Corp $NEM This Quarter http://dailypolitical.com/?p=2500685 #stocks",,,
Daily Political,@dailypoliticaln,2018-11-12T02:31:32.000Z,"Daily Political
@dailypoliticaln
·
Nov 12, 2018$1.84 Billion in Sales Expected for Newmont Mining Corp $NEM This Quarter http://dailypolitical.com/?p=2500685",,,
Enterprise Leader,@EnterpriseLeade,2018-11-12T01:36:49.000Z,"Enterprise Leader
@EnterpriseLeade
·
Nov 12, 2018Newmont Mining Corp $NEM Shares Sold by MERIAN GLOBAL INVESTORS UK Ltd  http://theenterpriseleader.com/?p=1522196",,,
Newmont Corporation,@NewmontCorp,2018-11-11T15:15:18.000Z,"Newmont Corporation
@NewmontCorp
·
Nov 11, 2018Newmont’s EVP and CTO shared his insights in 
@TheEconomist
  report on mining and digital transformation. Read more here: http://ow.ly/SIRD30mz3h3
1
1
4",1,1,4
Enterprise Leader,@EnterpriseLeade,2018-11-09T02:37:11.000Z,"Enterprise Leader
@EnterpriseLeade
·
Nov 9, 2018Scout Investments Inc. Has $22.10 Million Holdings in Newmont Mining Corp $NEM  http://theenterpriseleader.com/?p=1506187",,,
Newmont Corporation,@NewmontCorp,2018-11-08T18:28:50.000Z,"Newmont Corporation
@NewmontCorp
·
Nov 8, 2018We’re increasing the use of virtual reality for visualization in mine planning and stakeholder engagement. Read more in this article from International Mining.
im-mining.com
Newmont increasing use of VR for visualisation in mine planning and stakeholder engagement -...
Newmont’s Richard Inglis highlights the value of virtual reality. “Some like to think that virtual reality in mining is just a trend,” he says. “It’s not. Every day, it’s helping us make smarter...
1
5",,1,5
Watchlist News,@WatchlistN,2018-11-08T15:42:55.000Z,"Watchlist News
@WatchlistN
·
Nov 8, 2018Newmont Mining Corp $NEM Expected to Post Quarterly Sales of $1.84 Billion http://zpr.io/65dQS",,,
Community Financial,@CFinancialNews,2018-11-08T15:40:52.000Z,"Community Financial
@CFinancialNews
·
Nov 8, 2018$1.84 Billion in Sales Expected for Newmont Mining Corp $NEM This Quarter http://americanbankingnews.com/?p=8536350 #markets",,,
Bolsa y Capital,@Bolsa_y_Capital,2018-11-08T10:26:14.000Z,"Bolsa y Capital
@Bolsa_y_Capital
·
Nov 8, 2018¿Porqué pelearte con los pequeños, si puedes pelearte con los grandes?

1.- BHP Billiton
2.-Vale.
3.-Rio Tinto.
4.-Anglo American.
5.-Freeport-McMoRan Inc.
6.-Barrick Gold.
7.-Teck.
8.-Goldcorp.
9.-Newmont Mining Corp.
10.-Alcoa.",,,
Newmont Corporation,@NewmontCorp,2018-11-07T18:30:23.000Z,"Newmont Corporation
@NewmontCorp
·
Nov 7, 2018Newmont’s Nick Cotts & civil society leader Steve D’Esposito reflect on the value of connecting people who have different points of view. “I realized how powerful it is to stand in their shoes,” says Cotts. Tune in here: http://wrld.bg/BoUf30mva9Y #MiningWithPurpose 
@IFC_org
soundcloud.com
“I realized how powerful it is to stand in their shoes.”
Mining executive Nick Cotts and civil society leader Steve D’Esposito reflect on the importance of understanding one’s critics and the value of connection between people with differing points of view.
3
9",,3,9
Newmont Corporation,@NewmontCorp,2018-11-06T20:45:42.000Z,"Newmont Corporation
@NewmontCorp
·
Nov 6, 2018#MiningWithPurpose: Newmont is among 27 Colorado-based public companies with at least 20 percent women on their boards of directors. Read more in this 
@denbizjournal
 article: http://ow.ly/LAp330mwrT9
1
8",,1,8
MarketBeat,@MarketBeatCom,2018-11-06T10:18:59.000Z,"MarketBeat
@MarketBeatCom
·
Nov 6, 2018Analysts Expect Newmont Mining Corp $NEM to Post $0.27 Earnings Per Share http://zpr.io/6LDzZ",,,
Community Financial,@CFinancialNews,2018-11-06T10:17:14.000Z,"Community Financial
@CFinancialNews
·
Nov 6, 2018$0.27 EPS Expected for Newmont Mining Corp $NEM This Quarter http://americanbankingnews.com/?p=8504589 #markets",,,
US Banking News,@AmericanBanking,2018-11-06T10:17:13.000Z,"US Banking News
@AmericanBanking
·
Nov 6, 2018$0.27 EPS Expected for Newmont Mining Corp $NEM This Quarter http://americanbankingnews.com/?p=8504589 #stocks",,,
Newmont Corporation,@NewmontCorp,2018-11-05T15:14:30.000Z,"Newmont Corporation
@NewmontCorp
·
Nov 5, 2018#MiningWithPurpose: 
@Newmont_Ghana
 and 
@projectcure
 host public health screening for the community near our Akyem mine. http://ow.ly/5Kvt30mv9ZX
1
4",,1,4
MarketBeat,@MarketBeatCom,2018-11-05T13:16:48.000Z,"MarketBeat
@MarketBeatCom
·
Nov 5, 2018Gary J. Goldberg Sells 4,000 Shares of Newmont Mining Corp $NEM Stock http://zpr.io/6LXnN",,,
Rocketnews,@Rocketnews1,2018-11-05T13:15:47.000Z,"Rocketnews
@Rocketnews1
·
Nov 5, 2018Barrick in talks with Newmont to combine Nevada gold operations -sources | Barrick Gold Corp, which is being
formed by Barrick's $6.1 billion takeover of Randgold
Resources, is in talks with Newmont Mining... | https://rocketnews.com/2018/11/barrick-in-talks-with-newmont-to-combine-nevada-gold-operations-sources/…",,,
The Casual Smart,@The_CasualSmart,2018-11-04T18:38:34.000Z,"The Casual Smart
@The_CasualSmart
·
Nov 4, 2018Van Eck Associates Corp Has Cut Stake in Newmont Mining Corp $NEM as Stock Price Declined https://cardinalweekly.com/van-eck-associates-corp-has-cut-stake-in-newmont-mining-corp-nem-as-stock-price-declined/…",,,
REurope,@reurope_stock,2018-11-04T18:37:57.000Z,"REurope
@reurope_stock
·
Nov 4, 2018Newmont Mining Corp $NEM Shareholder Van Eck Associates Corp Cut Its Stake by $90.33 Million http://reurope.com/2018/11/04/newmont-mining-corp-nem-shareholder-van-eck-associates-corp-cut-its-stake-by-90-33-million/…",,,
Dakota Financial,@dakotafinancial,2018-11-04T15:30:24.000Z,"Dakota Financial
@dakotafinancial
·
Nov 4, 2018Elaine J. Dorward-King Sells 3,000 Shares of Newmont Mining Corp $NEM Stock http://dakotafinancialnews.com/?p=595924",,,
Newmont Corporation,@NewmontCorp,2018-11-04T14:40:08.000Z,"Newmont Corporation
@NewmontCorp
·
Nov 4, 2018#ICYMI: Employees from Newmont's operations in Nevada and Colorado pledge record high donations to support local communities. #MiningWithPrinciples.
nevadamining.org
Newmont Legacy Fund will contribute $2.8 Million to Support Local Communities in Colorado and...
Learn more about Newmont Legacy Fund will contribute $2.8 Million to Support Local Communities in Colorado and Nevada from the NVMA blog Mining News & More.
1
1",,1,1
MarketBeat,@MarketBeatCom,2018-11-04T12:52:36.000Z,"MarketBeat
@MarketBeatCom
·
Nov 4, 2018Newmont Mining Corp $NEM CFO Nancy Buese Sells 2,000 Shares http://zpr.io/6LqQf",,,
Ticker Report,@TickerReport,2018-11-04T12:37:03.000Z,"Ticker Report
@TickerReport
·
Nov 4, 2018Newmont Mining Corp $NEM Insider Thomas Ronald Palmer Sells 1,250 Shares http://tickerreport.com/?p=3908741",,,
Watchlist News,@WatchlistN,2018-11-04T12:35:24.000Z,"Watchlist News
@WatchlistN
·
Nov 4, 2018Thomas Ronald Palmer Sells 1,250 Shares of Newmont Mining Corp $NEM Stock http://zpr.io/6Lq4Z",,,
MidEast Times,@midetimes,2018-11-04T12:22:17.000Z,"MidEast Times
@midetimes
·
Nov 4, 2018Gary J. Goldberg Sells 4,000 Shares of Newmont Mining Corp $NEM Stock http://dailypolitical.com/?p=2477303 #stocks",,,
Daily Political,@dailypoliticaln,2018-11-04T12:22:15.000Z,"Daily Political
@dailypoliticaln
·
Nov 4, 2018Gary J. Goldberg Sells 4,000 Shares of Newmont Mining Corp $NEM Stock http://dailypolitical.com/?p=2477303",,,
MarketBeat,@MarketBeatCom,2018-11-03T16:06:38.000Z,"MarketBeat
@MarketBeatCom
·
Nov 3, 2018Newmont Mining Corp $NEM Insider Thomas Ronald Palmer Sells 1,250 Shares http://zpr.io/6Lgnq",,,
Enterprise Leader,@EnterpriseLeade,2018-11-03T15:55:59.000Z,"Enterprise Leader
@EnterpriseLeade
·
Nov 3, 2018Newmont Mining Corp $NEM CFO Nancy Buese Sells 2,000 Shares of Stock  http://theenterpriseleader.com/?p=1600161",,,
The Markets Daily,@TheMarketsDaily,2018-11-03T15:50:02.000Z,"The Markets Daily
@TheMarketsDaily
·
Nov 3, 2018Newmont Mining Corp $NEM CEO Gary J. Goldberg Sells 4,000 Shares of Stock http://zpr.io/6L6vm",,,
MidEast Times,@midetimes,2018-11-03T15:47:31.000Z,"MidEast Times
@midetimes
·
Nov 3, 2018Newmont Mining Corp $NEM EVP Elaine J. Dorward-King Sells 3,000 Shares of Stock http://dailypolitical.com/?p=2475002 #stocks",,,
Daily Political,@dailypoliticaln,2018-11-03T15:47:30.000Z,"Daily Political
@dailypoliticaln
·
Nov 3, 2018Newmont Mining Corp $NEM EVP Elaine J. Dorward-King Sells 3,000 Shares of Stock http://dailypolitical.com/?p=2475002",,,
Storm Investor,@storminvestor,2018-11-03T15:46:49.000Z,"Storm Investor
@storminvestor
·
Nov 3, 2018Insider Selling: Newmont Mining Corp $NEM CEO Sells 4,000 Shares of Stock  http://thestockobserver.com/?p=1693596 #markets",,,
Newmont Corporation,@NewmontCorp,2018-11-03T13:40:09.000Z,"Newmont Corporation
@NewmontCorp
·
Nov 3, 2018#DidYouKnow: The technology sector has accounted for more than 380 tonnes of gold demand annually. Read more in the 
@GOLDCOUNCIL
’s Gold Investor.
6
10",,6,10
Takom Exploration,@takomexplore,2018-11-03T00:38:13.000Z,"Takom Exploration
@takomexplore
·
Nov 3, 2018Romios Gold Resources, with Crystal Lake Mining Corp, completes RC drill program at the Newmont Lake Au-Ag-Cu Project, NW BC #mining #BritishColumbia
http://romios.com/press-releases/romios-reports-on-drilling-on-the-newmont-lake-project-in-the-golden-triangle-of-bc/…",,,
Community Financial,@CFinancialNews,2018-11-03T00:23:53.000Z,"Community Financial
@CFinancialNews
·
Nov 3, 2018Newmont Mining Corp $NEM Insider Sells $39,387.50 in Stock http://americanbankingnews.com/?p=8469336 #markets",,,
US Banking News,@AmericanBanking,2018-11-03T00:23:51.000Z,"US Banking News
@AmericanBanking
·
Nov 3, 2018Newmont Mining Corp $NEM Insider Sells $39,387.50 in Stock http://americanbankingnews.com/?p=8469336 #stocks",,,
Community Financial,@CFinancialNews,2018-11-03T00:13:55.000Z,"Community Financial
@CFinancialNews
·
Nov 3, 2018Insider Selling: Newmont Mining Corp $NEM CEO Sells 4,000 Shares of Stock http://americanbankingnews.com/?p=8469155 #markets",,,
US Banking News,@AmericanBanking,2018-11-03T00:13:54.000Z,"US Banking News
@AmericanBanking
·
Nov 3, 2018Insider Selling: Newmont Mining Corp $NEM CEO Sells 4,000 Shares of Stock http://americanbankingnews.com/?p=8469155 #stocks",,,
The Markets Daily,@TheMarketsDaily,2018-11-03T00:11:49.000Z,"The Markets Daily
@TheMarketsDaily
·
Nov 3, 2018Newmont Mining Corp $NEM CFO Nancy Buese Sells 2,000 Shares http://zpr.io/6kBQC",,,
Watchlist News,@WatchlistN,2018-11-03T00:10:26.000Z,"Watchlist News
@WatchlistN
·
Nov 3, 2018Insider Selling: Newmont Mining Corp $NEM CEO Sells 4,000 Shares of Stock http://zpr.io/6kBW4",,,
Community Financial,@CFinancialNews,2018-11-03T00:09:28.000Z,"Community Financial
@CFinancialNews
·
Nov 3, 2018Newmont Mining Corp $NEM CFO Sells $63,020.00 in Stock http://americanbankingnews.com/?p=8469066 #markets",,,
US Banking News,@AmericanBanking,2018-11-03T00:09:26.000Z,"US Banking News
@AmericanBanking
·
Nov 3, 2018Newmont Mining Corp $NEM CFO Sells $63,020.00 in Stock http://americanbankingnews.com/?p=8469066 #stocks",,,
Community Financial,@CFinancialNews,2018-11-03T00:09:25.000Z,"Community Financial
@CFinancialNews
·
Nov 3, 2018Insider Selling: Newmont Mining Corp $NEM EVP Sells 3,000 Shares of Stock http://americanbankingnews.com/?p=8469068 #markets",,,
US Banking News,@AmericanBanking,2018-11-03T00:09:24.000Z,"US Banking News
@AmericanBanking
·
Nov 3, 2018Insider Selling: Newmont Mining Corp $NEM EVP Sells 3,000 Shares of Stock http://americanbankingnews.com/?p=8469068 #stocks",,,
Newsfile,@newsfile_corp,2018-11-02T18:44:28.000Z,"Newsfile
@newsfile_corp
·
Nov 2, 2018Romios Reports on Drilling on the Newmont Lake Project in the Golden Triangle of BC

Full Story: http://bit.ly/2CX9h76

$RMIOF $RG.CA #TSXV #SmallCaps #Mining #Gold #PreciousMetals #MiningStocks #DrillResults #Metals #Investing",,,
Newmont Corporation,@NewmontCorp,2018-11-02T15:33:51.000Z,"Newmont Corporation
@NewmontCorp
·
Nov 2, 2018Newmont's integration of technology not only optimize operational efficiency at our mines, it also supports our journey to create a culture of zero harm. #MiningWithPurpose
6
14",,6,14
Enterprise Leader,@EnterpriseLeade,2018-11-02T06:04:57.000Z,"Enterprise Leader
@EnterpriseLeade
·
Nov 2, 2018Newmont Mining Corp $NEM Stake Lowered by Scout Investments Inc.  http://theenterpriseleader.com/?p=1506187",,,
Newmont Corporation,@NewmontCorp,2018-11-01T16:26:10.000Z,"Newmont Corporation
@NewmontCorp
·
Nov 1, 2018We're investing in technologies and innovations that keep people safe #MiningWithPurpose http://ow.ly/1jNO30msETF
1",,,1
MarketBeat,@MarketBeatCom,2018-11-01T07:04:45.000Z,"MarketBeat
@MarketBeatCom
·
Nov 1, 2018Hussman Strategic Advisors Inc. Increases Stake in Newmont Mining Corp $NEM https://ift.tt/2Szl2WI",,,
Newmont Corporation,@NewmontCorp,2018-10-31T19:03:35.000Z,"Newmont Corporation
@NewmontCorp
·
Oct 31, 2018$NEM CEO Gary Goldberg joined a panel discussion at #IMARC2018 yesterday to share insights on business growth opportunities with sustainable practices across the industry. #MiningWithPrinciples
Energy, Resources & Industrials
@DeloitteER
·
Oct 30, 2018
CEO Panel discussion @IMARC_Mining with Gary Goldberg @Newmont, Geoffrey Gao MMG, Graham Kerr @South_32 , Sandeep Biswas @NewcrestMining #IMARC
7
14",,7,14
Watchlist News,@WatchlistN,2018-10-30T06:14:04.000Z,"Watchlist News
@WatchlistN
·
Oct 30, 2018FY2018 EPS Estimates for Newmont Mining Corp $NEM Reduced by Analyst http://zpr.io/6k6gs",,,
Ticker Report,@TickerReport,2018-10-30T06:13:38.000Z,"Ticker Report
@TickerReport
·
Oct 30, 2018FY2018 EPS Estimates for Newmont Mining Corp $NEM Reduced by Analyst http://tickerreport.com/?p=3892474",,,
High Grade,@EconomicAlpha,2018-10-30T00:42:30.000Z,"High Grade
@EconomicAlpha
·
Oct 30, 2018Replying to 
@DebraG_Robins
GDX has its own FAANG. Franco Nevada, AngloGold Ashanti, Agnico Eagle, Newmont, Gold Corp. 
1
3
12",1,3,12
Newmont Corporation,@NewmontCorp,2018-10-29T13:41:38.000Z,"Newmont Corporation
@NewmontCorp
·
Oct 29, 2018#MiningWithPurpose: Elko Land & Livestock Co. celebrates 40 years of renewable land management this year. Read more about its important environmental work here: http://ow.ly/a1iN30mpBFI
1
2",,1,2
WKRB News,@WKRBNews,2018-10-29T05:57:01.000Z,"WKRB News
@WKRBNews
·
Oct 29, 2018Brokers Issue Forecasts for Newmont Mining Corp’s FY2018 Earnings $NEM http://wkrb13.com/?p=642574 #markets",,,
Community Financial,@CFinancialNews,2018-10-29T05:55:59.000Z,"Community Financial
@CFinancialNews
·
Oct 29, 2018Brokers Issue Forecasts for Newmont Mining Corp’s FY2018 Earnings $NEM http://americanbankingnews.com/?p=8402467 #markets",,,
US Banking News,@AmericanBanking,2018-10-29T05:55:57.000Z,"US Banking News
@AmericanBanking
·
Oct 29, 2018Brokers Issue Forecasts for Newmont Mining Corp’s FY2018 Earnings $NEM http://americanbankingnews.com/?p=8402467 #stocks",,,
MarketBeat,@MarketBeatCom,2018-10-29T01:15:56.000Z,"MarketBeat
@MarketBeatCom
·
Oct 29, 2018Newmont Mining Corp $NEM Receives $40.75 Consensus Price Target from Analysts http://zpr.io/625tm",,,
Newmont Corporation,@NewmontCorp,2018-10-28T14:45:10.000Z,"Newmont Corporation
@NewmontCorp
·
Oct 28, 2018#MiningWithPrinciples: $NEM has ranked Metals and Mining sector leader on the #DJSI for four years in a row. Learn more here: http://ow.ly/xOcu30mnX1s
5",,,5
Money Making Articles Hot Stuff,@mmahotstuff1,2018-10-28T11:12:44.000Z,"Money Making Articles Hot Stuff
@mmahotstuff1
·
Oct 28, 2018Newmont Mining Corp $NEM Shareholder Van Eck Associates Corp Has Decreased Holding by $90.33 Million - https://mmahotstuff.com/2018/10/28/newmont-mining-corp-nem-shareholder-van-eck-associates-corp-has-decreased-holding-by-90-33-million.html…",,,
WhatsOnThorold,@whatsonthorold2,2018-10-28T11:12:17.000Z,"WhatsOnThorold
@whatsonthorold2
·
Oct 28, 2018As Newmont Mining Corp $NEM Market Valuation Declined, Van Eck Associates Corp Has Cut Position by $90.33 Million - https://whatsonthorold.com/2018/10/28/as-newmont-mining-corp-nem-market-valuation-declined-van-eck-associates-corp-has-cut-position-by-90-33-million/…",,,
The Casual Smart,@The_CasualSmart,2018-10-28T11:11:58.000Z,"The Casual Smart
@The_CasualSmart
·
Oct 28, 2018As Newmont Mining Corp $NEM Stock Declined, Shareholder Van Eck Associates Corp Has Cut by $90.33 Million Its Holding https://cardinalweekly.com/as-newmont-mining-corp-nem-stock-declined-shareholder-van-eck-associates-corp-has-cut-by-90-33-million-its-holding/…",,,
REurope,@reurope_stock,2018-10-28T11:11:25.000Z,"REurope
@reurope_stock
·
Oct 28, 2018Newmont Mining Corp $NEM Shares Declined While Van Eck Associates Corp Trimmed by $90.33 Million Its Stake http://reurope.com/2018/10/28/newmont-mining-corp-nem-shares-declined-while-van-eck-associates-corp-trimmed-by-90-33-million-its-stake/…",,,
Enterprise Leader,@EnterpriseLeade,2018-10-27T23:25:39.000Z,"Enterprise Leader
@EnterpriseLeade
·
Oct 28, 2018Gary J. Goldberg Sells 4,000 Shares of Newmont Mining Corp $NEM Stock  http://theenterpriseleader.com/?p=1448778",,,
WhatsOnThorold,@whatsonthorold2,2018-10-27T17:51:29.000Z,"WhatsOnThorold
@whatsonthorold2
·
Oct 27, 2018Newmont Mining Corp $NEM Holder Carmignac Gestion Lowered Holding by $11.22 Million as Shares Declined - https://whatsonthorold.com/2018/10/27/newmont-mining-corp-nem-holder-carmignac-gestion-lowered-holding-by-11-22-million-as-shares-declined/…",,,
Newmont Corporation,@NewmontCorp,2018-10-27T13:35:08.000Z,"Newmont Corporation
@NewmontCorp
·
Oct 27, 2018Newmont’s ability to mine depends on robust ecosystems and healthy natural resources, which is why we put biodiversity management at the forefront of our planning. #MiningWithPrinciples http://ow.ly/nmol30mnWLx
1
6",,1,6
Jim Rankin,@JimRankinSDSMT,2018-10-25T15:53:43.000Z,"Jim Rankin
@JimRankinSDSMT
·
Oct 25, 2018Thank you to the Newmont Mining Corp for the VR tour of their operations.  #SDMines
2
8",,2,8
Newmont Corporation,@NewmontCorp,2018-10-25T13:35:56.000Z,"Newmont Corporation
@NewmontCorp
·
Oct 25, 2018#ICYMI: $NEM's 2018 Q3 earnings webcast begins at 10 AM ET. Registration is available here: http://ow.ly/CkDN30mn0vy
1
2",,1,2
